Deposit,Date,BIL,BIL_Units_Bought,BIL_Units_Bought_Cum,Portfolio_Value,Deposits_cum
400.0,2020-06-09,91.32400512695312,4.380009390126332,4.380009390126332,400.0,400.0
100.0,2020-06-10,91.33399200439453,1.0948826149544466,5.474892005080779,500.04374261697143,500.0
250.0,2020-06-29,91.32400512695312,2.7375058688289577,8.212397873909737,749.9890655415118,750.0
250.0,2020-07-20,91.33399200439453,2.7372065373861165,10.949604411295853,1000.0710817525786,1000.0
50.0,2020-08-04,91.33399200439453,0.5474413074772233,11.497045718773077,1050.0710817525785,1050.0
50.0,2020-08-10,91.33399200439453,0.5474413074772233,12.0444870262503,1100.0710817525785,1100.0
100.0,2020-09-03,91.32400512695312,1.095002347531583,13.139489373781883,1199.9507949368028,1200.0
50.0,2020-09-08,91.33399200439453,0.5474413074772233,13.686930681259106,1250.0820174068215,1250.0
50.0,2020-10-16,91.32400512695312,0.5475011737657915,14.234431855024898,1299.9453277075586,1300.0
100.0,2020-10-29,91.32400512695312,1.095002347531583,15.329434202556481,1399.9453277075586,1400.0
50.0,2020-11-09,91.32400512695312,0.5475011737657915,15.876935376322272,1449.9453277075586,1450.0
50.0,2020-11-16,91.32400512695312,0.5475011737657915,16.424436550088064,1499.9453277075586,1500.0
101.0,2020-11-30,91.31403350830078,1.1060731425342056,17.53050969262227,1600.7815494897018,1601.0
50.0,2020-12-08,91.30705261230469,0.5476028255156045,18.078112518137875,1650.6591708247788,1651.0
100.0,2020-12-10,91.30705261230469,1.095205651031209,19.173318169169082,1750.6591708247788,1751.0
150.0,2021-01-04,91.31702423095703,1.6426290854662902,20.815947254635372,1900.8503598418617,1901.0
50.0,2021-01-11,91.31702423095703,0.5475430284887634,21.363490283124136,1950.8503598418617,1951.0
50.0,2021-01-15,91.31702423095703,0.5475430284887634,21.9110333116129,2000.850359841862,2001.0
75.0,2021-01-25,91.31702423095703,0.8213145427331451,22.732347854346045,2075.850359841862,2076.0
