Deposit,Date,QQQ,SPY,QQQ_units_bought,SPY_units_bought,QQQ_units_cum,SPY_units_cum,QQQ_value,SPY_value,Portfolio_Value,Deposits_cum
400.0,2020-06-09,240.5155792236328,310.28558349609375,0.016630939305103294,1.2762436318765848,0.016630939305103294,1.2762436318765848,4.0,396.0,400.0,400.0
100.0,2020-06-10,243.40216064453125,308.5542907714844,0.004108426964460753,0.3208511531389447,0.020739366269564047,1.5970947850155295,5.048006560410201,492.79044868530303,497.83845524571325,500.0
250.0,2020-06-29,240.47830200195312,295.7862854003906,0.01039594832127389,0.8367527915128723,0.03113531459083794,2.433847576528402,7.487367585101343,719.898733892079,727.3861014771803,750.0
250.0,2020-07-20,264.18548583984375,315.08050537109375,0.009463048252073796,0.7855135299738739,0.04059836284291173,3.219361106502276,10.725498211956896,1014.3579244087807,1025.0834226207376,1000.0
50.0,2020-08-04,267.75042724609375,320.656982421875,0.0018674106523103393,0.15437056641066657,0.04246577349522207,3.3737316729129425,11.370228996681552,1081.8106177373684,1093.18084673405,1050.0
50.0,2020-08-10,267.68115234375,326.010009765625,0.0018678939313512498,0.15183582870840845,0.04433366742657332,3.525567501621351,11.867287184369719,1149.3702956329466,1161.2375828173163,1100.0
100.0,2020-09-03,284.6148376464844,335.55023193359375,0.003513520265735704,0.295037793386453,0.04784718769230902,3.8206052950078035,13.618019556887397,1282.0049928665849,1295.6230124234723,1200.0
50.0,2020-09-08,267.3246765136719,323.7171936035156,0.0018703847565468888,0.1529112477745835,0.04971757244885591,3.973516542782387,13.290733971935452,1286.295623966658,1299.5863579385934,1250.0
50.0,2020-10-16,285.7041931152344,338.74664306640625,0.0017500618193529022,0.14612690933824624,0.051467634268208814,4.119643452120633,14.704518920148585,1395.515390036366,1410.2199089565145,1300.0
100.0,2020-10-29,273.7020568847656,321.862548828125,0.003653607909936246,0.30758471391111153,0.05512124217814506,4.427228166031745,15.086797362201603,1424.9589417626428,1440.0457391248444,1400.0
50.0,2020-11-09,285.7833557128906,345.83782958984375,0.001749577048504952,0.14313066924664064,0.056870819226650014,4.570358835278386,16.25273356073322,1580.602980039443,1596.8557136001764,1450.0
50.0,2020-11-16,290.34857177734375,353.65081787109375,0.0017220680540609968,0.13996857210165656,0.05859288728071101,4.710327407380042,17.012361138265334,1665.8111400605806,1682.8235011988459,1500.0
101.0,2020-11-30,296.70611572265625,353.1533508300781,0.003404041731799319,0.2831347904953358,0.06199692901251033,4.9934621978753775,18.394867994035195,1763.4579074230162,1781.8527754170514,1601.0
50.0,2020-12-08,305.29180908203125,361.0638732910156,0.0016377773170640523,0.13709485678757802,0.06363470632957438,5.1305570546629555,19.427154615759548,1852.4588022971518,1871.8859569129113,1651.0
